id,titulo,nota,tipo de nota,diretor
1,#Alive,7.239,0 a 10,Cho Il
2,(500) Dias com Ela,7.3,0 a 10,Marc Webb
3,(A) Fronteira,6.143,0 a 10,Xavier Gens
4,(Re)Nascer,6.4,0 a 10,Laura Moss
5,...E o Vento Levou,7.944,0 a 10,Victor Fleming
6,007 - Permissão para Matar,6.394,0 a 10,John Glen
7,007 A Serviço Secreto de Sua Majestade,6.572,0 a 10,Peter R. Hunt
8,007 Cassino Royale,7.559,0 a 10,Martin Campbell
9,007 Contra GoldenEye,6.89,0 a 10,Martin Campbell
10,007 Contra Goldfinger,7.343,0 a 10,Guy Hamilton
11,007 Contra Octopussy,6.325,0 a 10,John Glen
12,007 Contra Spectre,6.548,0 a 10,Sam Mendes
13,007 Contra a Chantagem Atômica,6.651,0 a 10,Terence Young
14,007 Contra o Foguete da Morte,6.156,0 a 10,Lewis Gilbert
15,007 Contra o Homem com a Pistola de Ouro,6.436,0 a 10,Guy Hamilton
16,007 Contra o Satânico Dr. No,6.993,0 a 10,Terence Young
17,007 Marcado para a Morte,6.516,0 a 10,John Glen
18,007 Na Mira dos Assassinos,6.225,0 a 10,John Glen
19,007 O Amanhã Nunca Morre,6.358,0 a 10,Roger Spottiswoode
20,007 O Espião Que Me Amava,6.79,0 a 10,Lewis Gilbert
21,007 O Mundo Não é o Bastante,6.271,0 a 10,Michael Apted
22,007 Operação Skyfall,7.242,0 a 10,Sam Mendes
23,007 Os Diamantes São Eternos,6.383,0 a 10,Guy Hamilton
24,007 Quantum of Solace,6.328,0 a 10,Marc Forster
25,007 Somente para Seus Olhos,6.523,0 a 10,John Glen
26,007 Um Novo Dia para Morrer,5.987,0 a 10,Lee Tamahori
27,007: Nunca Mais Outra Vez,6.059,0 a 10,Irvin Kershner
28,007: Sem Tempo para Morrer,7.376,0 a 10,Cary Joji Fukunaga
29,10 Coisas Que Eu Odeio em Você,7.591,0 a 10,Gil Junger
30,10 jours encore sans maman,5.3,0 a 10,Ludovic Bernard
31,10.000 A.C.,5.472,0 a 10,Roland Emmerich
32,100 Coisas para Fazer Antes de Virar Zumbi,6.621,0 a 10,Yusuke Ishida
33,100 Escovadas Antes de Dormir,4.597,0 a 10,Luca Guadagnino
34,100 Garotas,5.787,0 a 10,Michael Davis
35,101 Dálmatas,7.184,0 a 10,Wolfgang Reitherman
36,101 Dálmatas II: A Aventura de Patch em Londres,6.034,0 a 10,Brian Smith
37,102 Dálmatas,5.508,0 a 10,Kevin Lima
38,11 De Setembro 1683,4.3,0 a 10,Renzo Martinelli
