Título,Nota,Gêneros,Diretor
Jujutsu Kaisen 0,8.172,"Animation, Action, Fantasy",Sunghoo Park
1,5.089,Drama,Unknown
Inside Out 2,7.668,"Animation, Family, Adventure, Comedy, Fantasy",Kelsey Mann
365 Days: This Day,5.87,"Romance, Drama",Tomasz Mandes
Despicable Me 4,7.185,"Animation, Family, Comedy, Action",Chris Renaud
578: Magnum,5.853,"Action, Thriller",Lương Đình Dũng
6,4.938,,Eduardo Quispe
7,1.0,Horror,Zeferí Encina Leveratto
8,0.0,"Drama, History",Rob Reiner
9,6.929,"Action, Adventure, Animation, Science Fiction, Thriller",Shane Acker
10,5.723,"Comedy, Romance",Blake Edwards
11,0.0,Horror,Can Varol
12,6.633,"Crime, Drama, Mystery",Nikita Mikhalkov
13,5.841,"Drama, Thriller",Géla Babluani
14,6.5,Drama,Riley Meadows
15,5.0,"Action, Drama",Sergiu Nicolaescu
Sixteen,0.0,Drama,Hiroshi Okuhara
17,0.0,Drama,Jacob Biggerstaff
18,9.0,,Teddy Nygh
19,6.1,"Drama, Crime",Kazushi Watanabe
20,0.0,,Kary Hyun-jeong Rho
21,6.7,"Drama, Crime",Robert Luketic
22,0.0,Documentary,Nate Markquart
23,6.837,"Drama, Thriller",Hans-Christian Schmid
24,7.201,"Action, Science Fiction, Thriller",Vikram Kumar
.25,10.0,Comedy,Creed Fuller
26,0.0,Drama,Ana Lambarri
27,6.4,Animation,Flóra Anna Buda
Kalki 2898-AD,6.377,"Drama, Action, Fantasy, Science Fiction",Nag Ashwin
29,0.0,Documentary,Selim Yıldız
$30,6.4,"Comedy, Drama",Gregory Cooke
31,5.43,"Horror, Thriller",Rob Zombie
32,6.0,"Thriller, Mystery, Action",Merlin Morzeck
33,4.0,Documentary,Kiko Goifman
34,6.6,Drama,Lyubomir Mladenov
35,0.0,"Drama, Family",Nanda Kishore
365 Days: This Day,5.87,"Romance, Drama",Tomasz Mandes
37,4.6,Drama,Puk Grasten
38,7.0,Documentary,Çayan Demirel
39,0.0,Drama,Martín D. Guevara
40,0.0,,Dado C. Lumibao
41,5.987,"Science Fiction, Drama",Glenn Triggs
42,7.185,Drama,Brian Helgeland
Peeping 438,4.571,Drama,Li Jindou
44,5.5,"Drama, Crime",Unknown
.45,5.155,"Drama, Crime, Thriller",Gary Lennon
46,3.75,,Joseph A. Adesunloye
#47,6.0,Documentary,José Miguel Biscaya
48,1.0,"Drama, Comedy",Vladimir Mitrevski
49,7.9,"Drama, Action",Hakan İnan
50,9.0,Documentary,Daniil Zinchenko
51,4.063,"Science Fiction, Horror",Jason Connery
52,1.0,Comedy,Josh Levy
53,0.0,,Sofia Borges
54,5.8,"Drama, Music",Mark Christopher
55,0.0,Thriller,Shyam Madiraju
56,6.667,,Lars Löllmann
578: Magnum,5.853,"Action, Thriller",Lương Đình Dũng
58 Days,6.0,"Drama, Thriller",Yasushi Koshizaka
59,0.0,,Unknown
60,0.0,,Hiroshi Yamazaki
61*,6.949,"TV Movie, Drama, History",Billy Crystal
6'2,6.0,,V. Senthil Kumar
The Hell of '63,6.026,Drama,Steven de Jong
64,0.0,Documentary,James Hankins
65,5.993,"Action, Adventure, Science Fiction",Scott Beck
66,3.3,Animation,Robert Breer
67%,0.0,,Dimitra Nikolopoulou
68,4.9,Documentary,Patrick Rotman
69,5.05,Animation,Robert Breer
70,5.0,Animation,Robert Breer
'71,6.8,"Thriller, Action, Drama, War",Yann Demange
72,0.0,Horror,Brandon Tanczak
73,0.0,,Meshy Koplevitch
74,0.0,Animation,Charalambos Margaritis
75,4.0,,Joe Zappa
'76,6.0,"Romance, Drama",Izu Ojukwu
77,4.0,Animation,Robert Breer
78,0.0,,Noah Edelson
The Concorde... Airport '79,4.73,"Action, Drama, Thriller",David Lowell Rich
Around the World in 80 Days,5.688,"Animation, Family, Comedy",Samuel Tourneux
81,0.0,,Stephen Burke
82,8.0,"Comedy, Crime",Calum MacDiarmid
83,7.048,"Drama, History",Kabir Khan
84,0.0,Documentary,Daniel Cortés
Summer of 85,7.37,"Romance, Drama",François Ozon
Deer Camp ‘86,6.75,"Horror, Comedy, Thriller, Fantasy",L. Van Dyke Siboutszen
87,0.0,,Joana Elias
88,5.14,"Thriller, Action",April Mullen
89,6.3,Documentary,Dave Stewart
90%,5.0,Animation,Adèle Blancot
Private Number 91-Karlsson,6.75,Comedy,Hugo Bolander
92%,0.0,Documentary,Juan Bermúdez
A Woman & A Man '93,3.7,"Drama, Romance",Lam Gam-Fung
94-Sai no gei,0.0,Documentary,Unknown
95,4.5,"Drama, Comedy, History",Aleksi Mäkelä
96,7.565,Romance,C. Prem Kumar
97%,7.125,"Comedy, Drama",Ben Brand
98%,0.0,Horror,Chang Woo Byun
99,6.632,"Comedy, Crime",Krishna D.K.
100,6.7,Action,Sam Anton
101,9.0,Documentary,Luis Miñarro
102,0.0,"Music, Family",Mohammed Al-Hamali
Monsters 103 Mercies Dragon Damnation,7.0,"Animation, Action, Fantasy, Adventure",Sunghoo Park
10:45 in a city like any other,0.0,"Animation, Comedy, Drama",Diego Ignacio Romero Guerra
A 105 p.c. Alibi,8.7,Crime,Vladimír Čech
Honto Ni Atta! Noroi No Video 106,0.0,Horror,Yūki Fujimoto
107,0.0,,Pedro Ladeira
Honto Ni Atta! Noroi No Video 108,0.0,Horror,Yūki Fujimoto
109,0.0,,Mahmut Genç
110,0.0,Drama,Ilya Mikheev
1:11,5.3,Drama,Miron Wojdyło
112,0.0,Thriller,Matisse Vauthier
1.13,0.0,Drama,Maria Vaulina
Paris By Night 114 - I am a Vietnamese,0.0,Music,Unknown
UFC 11.5: Ultimate Ultimate 2,6.8,,Unknown
11.6,5.566,"Thriller, Drama",Philippe Godeau
117,0.0,Documentary,Besim Sahatçiu
118,5.2,"Action, Thriller",K. V. Guhan
119,6.0,"Comedy, Drama",Naoto Takenaka
120,6.2,"History, Drama, War",Özhan Eren
121,4.0,Documentary,Andre Nutini
122,5.81,"Horror, Thriller",Yasser Al Yasseri
123,6.994,,Carlo Obispo
"12,41 Kilometres",0.0,Documentary,Karolina Breguła
$1.25,0.0,"Animation, Music",Jeep Jones
126,0.0,"Documentary, TV Movie",Brian Deane
127 Hours,7.084,"Adventure, Drama, Thriller",Danny Boyle
128,0.0,Drama,Rijad Gvozden
129,7.5,"Action, Drama, Science Fiction, Thriller",Peter Noel
"On April 22, 2023, from 13:05 to 13:11, Nothing Happened in Irpin",0.0,Documentary,Ania Na
"On April 22, 2023, from 13:05 to 13:11, Nothing Happened in Irpin",0.0,Documentary,Ania Na
Morning Musume.'21 DVD Magazine Vol.132,8.0,,Unknown
133,4.0,,Eugènia Balcells
134,4.8,,Sarah Jane Drummey
1.35,0.0,,Milan Balog
136,0.0,Documentary,Steven Hu
Cesium-137,5.0,Drama,Roberto Pires
1:38,0.0,,Yuhao Sheng
