MovieID,Title
0,Dekalog (1988)
1,Three Colors: Red
2,The Conformist
3,Tokyo Story
4,The Leopard (re-release)
5,The Godfather
6,Boyhood
7,Lawrence of Arabia (re-release)
8,Fanny and Alexander (re-release)
9,Playtime
10,Army of Shadows
11,Moonlight
12,Moonlight
13,Moonlight
14,Moonlight
15,Pépé le Moko (re-release)
16,Pan's Labyrinth
17,Hoop Dreams
18,Metropolis (re-release)
19,My Left Foot
20,Ran
21,"Quo Vadis, Aida?"
22,Rififi (re-release)
23,"4 Months, 3 Weeks and 2 Days"
24,Parasite
25,American Graffiti
26,Roma
27,Spirited Away
28,Toy Story
29,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)"
30,12 Years a Slave
31,Manchester by the Sea
32,The Battle of Algiers
33,Killer of Sheep
34,Nashville
35,Ratatouille
36,Children of Paradise (1945)
37,Mean Streets
38,Gravity
39,Beauty and the Beast
40,Beauty and the Beast
41,Beauty and the Beast
42,Beauty and the Beast
43,Beauty and the Beast
44,Beauty and the Beast
45,Beauty and the Beast
46,Beauty and the Beast
47,Beauty and the Beast
48,Small Axe: Lovers Rock
49,Don't Look Now
50,The Social Network
51,Portrait of a Lady on Fire
52,I Am Not Your Negro
53,Woodstock
54,Do Not Expect Too Much From the End of the World
55,Aftersun
56,Rocks
57,Amour
58,The Hurt Locker
59,Pulp Fiction
60,Zero Dark Thirty
61,Collective
62,A Separation
63,Schindler's List
64,WALL-E
65,Carol
66,Before Midnight
67,Amazing Grace
68,Amazing Grace
69,Amazing Grace
70,Amazing Grace
71,Dunkirk
72,45 Years
73,Taxi Driver
74,Inside the Yellow Cocoon Shell
75,Yi Yi
76,Mr. Turner
77,The Irishman
78,Grave of the Fireflies (1988)
79,"Crouching Tiger, Hidden Dragon"
80,The Wild Child
81,Stop Making Sense
82,Inside Out
83,Inside Out
84,Inside Out
85,Inside Out
86,Sideways
87,Apocalypse Now
88,We Were Here
89,Faces Places
90,Days of Heaven
91,Past Lives
92,The Lord of the Rings: The Return of the King
93,Call Me by Your Name
94,Trenque Lauquen Parte II
95,Trenque Lauquen Parte I
96,Carlos
97,Marriage Story
98,The French Connection
99,La La Land
100,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles"
101,Petite Maman
102,Lady Bird
103,Reversal of Fortune
104,David Byrne’s American Utopia
105,Shoplifters
106,Shoah: Four Sisters
107,Toni Erdmann
108,The Discreet Charm of the Bourgeoisie
109,Uncut Gems
110,Inside Llewyn Davis
111,Our Body
112,Days of Being Wild (re-release)
113,Sherpa
114,There Will Be Blood
115,Tristana (re-release)
116,The Last Picture Show
117,Hard to Be a God
118,Do the Right Thing
119,Sita Sings the Blues
120,The Decline of Western Civilization
121,TÁR
122,Brother's Keeper
123,Badlands
124,Sankofa
125,Crumb
126,No Bears
127,Spotlight
128,Solaris (1972)
129,Late Spring (1949)
130,One More Time with Feeling
131,Sugarcane
132,Memoria
133,The Diving Bell and the Butterfly
134,Close-Up
135,The Class
136,Platoon
137,No Country for Old Men
138,Chinatown
139,Here
140,Here
141,Here
142,Here
143,35 Shots of Rum
144,Apocalypse Now: Final Cut
145,Umberto D (re-release)
146,The Florida Project
147,Timbuktu
148,Frenzy
149,Days
150,The Act of Killing
151,De Humani Corporis Fabrica
152,Maborosi
153,Beauty and the Beast (re-release)
154,E.T. The Extra-Terrestrial
155,Apocalypse Now Redux
156,Never Rarely Sometimes Always
157,Annie Hall
158,The Lord of the Rings: The Fellowship of the Ring
159,Quiz Show
160,Leviathan
161,Leviathan
162,Leviathan
163,Leviathan
164,Leviathan
165,Leviathan
166,Leviathan
167,Leviathan
168,Leviathan
169,Menus Plaisirs - Les Troisgros
170,Werckmeister Harmonies
171,Le Cercle Rouge (1970)
172,Toy Story 3
173,The Souvenir
174,This Is Spinal Tap
175,Goodfellas
176,The Zone of Interest
177,The Look of Silence
178,Tower
179,Burning
180,Drive My Car
181,Moolaadé
182,A Summer's Tale
183,Saint Omer
184,Atanarjuat: The Fast Runner
185,L.A. Confidential
186,Time
187,Time
188,Time
189,Time
190,Three Colors: White
191,Gavagai
192,A Bread Factory Part Two: Walk With Me a While
193,Breaking Away
194,Lost in Translation
195,After Life
196,Son of Saul
197,Little Women
198,Little Women
199,Little Women
200,Little Women
201,Little Women
202,Little Women
203,Little Women
204,Little Women
205,Little Women
206,I Am Cuba
207,Monty Python and the Holy Grail
208,The Triplets of Belleville
209,The Man Who Would Be King
210,Flee
211,EX LIBRIS: The New York Public Library
212,The Texas Chain Saw Massacre
213,Tótem
214,Repulsion (re-release)
215,Stories We Tell
216,The Boy and the Heron
217,A Bread Factory Part One: For the Sake of Gold
218,Jafar Panahi's Taxi
219,Ida
220,All the Beauty and the Bloodshed
221,Beau Travail
222,Her
223,Waltz with Bashir
224,Hit the Road
225,"This Is Not a Burial, It's a Resurrection"
226,They Shall Not Grow Old
227,The Favourite
228,The Sweet Hereafter
229,The Right Stuff
230,Nostalgia for the Light
231,The Gatekeepers
232,Before Sunset
233,La Chimera
234,The Worst Person in the World
235,Saving Private Ryan
236,Licorice Pizza
237,Only Yesterday (1991)
238,32 Sounds
239,The Crying Game
240,First Cow
241,Mad Max: Fury Road
242,Le Samouraï
243,Halloween
244,Halloween
245,Halloween
246,Halloween
247,Ghost World
248,Winter's Bone
249,The Queen
250,Gett: The Trial of Viviane Amsalem
251,I Called Him Morgan
252,All of Us Strangers
253,Close Encounters of the Third Kind
254,The Godfather: Part II
255,Procession
256,My Voyage to Italy
257,Bloody Sunday
258,Blue Is the Warmest Color
259,Phantom Thread
260,American Splendor
261,Gosford Park
262,Wojnarowicz
263,My Perestroika
264,Paths of the Soul
265,The Souvenir: Part II
266,This Is Not a Film
267,Finding Nemo
268,Topsy-Turvy
269,Small Axe: Mangrove
270,Being John Malkovich
271,The Incredibles
272,Green Border
273,A Prophet
274,Almost Famous
275,Oppenheimer
276,Cold War
277,The Truman Show
278,Once
279,Big Men
280,Hannah and Her Sisters
281,The Tale
282,Paterson
283,The Fits
284,Raging Bull
285,Eyes Without a Face [re-release]
286,United 93
287,Capturing the Friedmans
288,American Hustle
289,The Passenger (re-release)
290,Star Wars: Episode IV - A New Hope
291,Persepolis
292,The Age of Innocence
293,The Deer Hunter
294,Eternal Sunshine of the Spotless Mind
295,The Best of Youth
296,The Overnighters
297,Fat City
298,The Lives of Others
299,Two-Lane Blacktop
300,House of Flying Daggers
301,63 Up
302,Minding the Gap
303,Investigation of a Citizen Above Suspicion [re-release]
304,Searching for Bobby Fischer
305,Anora
306,Whiplash
307,"Two Days, One Night"
308,Killers of the Flower Moon
309,National Gallery
310,Assault on Precinct 13
311,Assault on Precinct 13
312,Assault on Precinct 13
313,Assault on Precinct 13
314,Man on Wire
315,Y Tu Mamá También
316,For Sama
317,Elle
318,Still Walking
319,Gangs of Wasseypur
320,After Hours
321,When the Levees Broke: A Requiem in Four Acts
322,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
323,Minari
324,Barry Lyndon
325,The Farewell
326,The Tale of The Princess Kaguya
327,Uncertain
328,Great Freedom
329,No End in Sight
330,The Madness of King George
331,Phoenix
332,Goodbye Solo
333,Gunda
334,Western
335,Western
336,Western
337,Western
338,Western
339,Western
340,Western
341,Western
342,Western
343,The Power of the Dog
344,Mr. Bachmann and His Class
345,Deep Red
346,Alien
347,Columbus
348,The Artist
349,Zama
350,The Piano
351,Dead Souls
352,Cameraperson
353,The Mother and the Whore
354,Dick Johnson Is Dead
355,Piccadilly [re-release]
356,The Quiet Girl
357,Letters from Iwo Jima
358,A Woman Under the Influence
359,Anomalisa
360,I'm Going Home
361,The Conversation
362,The Arbor
363,Long Day's Journey Into Night
364,Three Minutes: A Lengthening
365,Democrats
366,The Lion King
367,The Lion King
368,The Lion King
369,The Lion King
370,4 Little Girls
371,Ear for Eye
372,Azor
373,Paddington 2
374,The Little Mermaid
375,The Little Mermaid
376,The Little Mermaid
377,The Little Mermaid
378,City Hall
379,City Hall
380,City Hall
381,City Hall
382,A Serious Man
383,Capote
384,The Death of Stalin
385,About Dry Grasses
386,Tulpan
387,Manuscripts Don't Burn
388,In Transit
389,"Three Billboards Outside Ebbing, Missouri"
390,Au Revoir les Enfants
391,Overlord [re-release]
392,A Film Unfinished
393,Things to Come
394,The Grand Budapest Hotel
395,Winter Sleep
396,A Star Is Born
397,A Star Is Born
398,A Star Is Born
399,A Star Is Born
400,Citizenfour
401,Time Out
402,Away from Her
403,Hamilton
404,Mafioso [re-release]
405,The Father
406,Foxtrot
407,Howards End
408,Inside Job
409,Sweet Country
410,Leave No Trace
411,Donnie Darko: The Director's Cut
412,Chicken Run
413,The King's Speech
414,Fargo
415,Parallel Mothers
416,Hell or High Water
417,Up
418,Shirkers
419,Poor Things
420,45365
421,Tootsie
422,Marooned in Iraq
423,Pictures of Ghosts
424,Aquarius
425,Toy Story 2
426,Black Panther
427,Cemetery of Splendor
428,The Human Voice
429,Brooklyn
430,Nobody Knows
431,Life Is Sweet
432,Apollo 11
433,The Lord of the Rings: The Two Towers
434,L'Enfant (The Child)
435,Jane Fonda in Five Acts
436,Newtown
437,Poetry
438,If Beale Street Could Talk
439,Restless Creature: Wendy Whelan
440,Birdman or (The Unexpected Virtue of Ignorance)
441,Out 1: Noli Me Tangere (1971)
442,Shine
443,Aftershock
444,Aftershock
445,Aftershock
446,Aftershock
447,Can You Ever Forgive Me?
448,Wolfwalkers
449,My Neighbor Totoro
450,The Missing Picture
451,"I Travel Because I Have to, I Come Back Because I Love You"
452,"Our Father, the Devil"
453,The Body Remembers When the World Broke Open
454,Amadeus
455,Of Men and War
456,The Long Goodbye
457,Pain and Glory
458,Russian Ark
459,The Farthest
460,Gomorrah
461,To Be and to Have
462,A Night of Knowing Nothing
463,Eraserhead
464,Return to Seoul
465,The Velvet Underground
466,All That Breathes
467,I Vitelloni [re-release]
468,Attica
469,Can You Bring It: Bill T. Jones and D-Man in the Waters
470,Mami Wata
471,Three Colors: Blue
472,In the Mood for Love
473,Fire at Sea
474,F for Fake
475,Grizzly Man
476,Ma Rainey's Black Bottom
477,Level Five
478,Robot Dreams
479,One False Move
480,Descendant
481,En el Séptimo Día (On the Seventh Day)
482,Jane
483,Walk Up
484,Jaws
485,We Are the Best!
486,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese
487,Small Axe: Education
488,About Endlessness
489,Back to the Future
490,Nomadland
491,Hope
492,My Journey Through French Cinema
493,About Elly (2009)
494,The Diary of a Teenage Girl
495,Lincoln
496,Elena
497,Elena
498,Elena
499,Elena
500,All Is Lost
501,The Banshees of Inisherin
502,Hereditary
503,Listen to Me Marlon
504,Gideon's Army
505,The Fugitive
506,The Death of Mr. Lazarescu
507,Maria Full of Grace
508,Shakespeare in Love
509,Fateless
510,Happy as Lazzaro
511,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara
512,All Dirt Roads Taste of Salt
513,Uncle Boonmee Who Can Recall His Past Lives
514,Brokeback Mountain
515,The Kid with a Bike
516,Spider-Man: Into the Spider-Verse
517,Blue Jean
518,The Wicker Man
519,The Wicker Man
520,The Wicker Man
521,The Wicker Man
522,The Tragedy of Macbeth
523,Mulholland Dr.
524,Particle Fever
525,Tarnation
526,Microcosmos
527,Murderball
528,Life Itself
529,Life Itself
530,Life Itself
531,Life Itself
532,The Shape of Water
533,Rewind
534,Caché (Hidden)
535,The King and the Mockingbird
536,Bisbee '17
537,Dirty Harry
538,Gregory Crewdson: Brief Encounters
539,The Autobiography of Nicolae Ceausescu
540,Moneyball
541,All About My Mother
542,Rushmore
543,The Duke of Burgundy
544,My Golden Days
545,The Wind Will Carry Us
546,What the Constitution Means to Me
547,Black Box Diaries
548,Force Majeure
549,Tampopo
550,Blow Out
551,Diane
552,Ten
553,Playground
554,Tangerine
555,The Tillman Story
556,Renaissance: A Film by Beyoncé
557,Room
558,Room
559,Room
560,Room
561,Dog Day Afternoon
562,"sex, lies, and videotape"
563,The Remains of the Day
564,The Wolf House
565,An Elephant Sitting Still
566,Anatomy of a Fall
567,The English Patient
568,Fallen Leaves
569,Nebraska
570,Like Water for Chocolate
571,Ordinary People
572,Under the Sand
573,Divine Love
574,Spider-Man: Across the Spider-Verse
575,Stand Clear of the Closing Doors
576,Heavenly Creatures
577,Dreamcatcher
578,Dreamcatcher
579,Dreamcatcher
580,Dreamcatcher
581,Richard III
582,42: Forty Two Up
583,The Straight Story
584,Million Dollar Baby
585,Last Days in Vietnam
586,Krisha
587,Dawson City: Frozen Time
588,The Inheritance
589,The Inheritance
590,The Inheritance
591,The Inheritance
592,The Babadook
593,Little Men
594,Dead Ringers
595,Boogie Nights
596,The Kids Are All Right
597,Welcome to Chechnya
598,Manakamana
599,Cave of Forgotten Dreams
600,King of the Hill
601,Carrie
602,Carrie
603,Carrie
604,Carrie
605,The Red Turtle
606,Hope and Glory
607,My Happy Family
608,How to Survive a Plague
609,Chasing Coral
610,Loveless
611,Loveless
612,Loveless
613,Loveless
614,Showing Up
615,In the Bedroom
616,Barbara
617,Of Gods and Men
618,To Die For
619,One Cut of the Dead
620,Museo
621,Nobody's Fool
622,Nobody's Fool
623,Nobody's Fool
624,Nobody's Fool
625,Before the Devil Knows You're Dead
626,Stranger Than Paradise
627,The Beaches of Agnès
628,Raiders of the Lost Ark
629,I Saw the TV Glow
630,Deliver Us from Evil
631,May December
632,Maidan
633,Say Anything...
634,Drug War
635,The Great Beauty
636,Vitalina Varela
637,Happening
638,Patton
639,The Lost Daughter
640,Black Mother
641,The Big Sick
642,Argo
643,Our Daily Bread
644,Talk to Her
645,Traffic
646,The Grifters
647,Summer Hours
648,The Master
649,Boys Don't Cry
650,The Wild Pear Tree
651,My Imaginary Country
652,"Distant Voices, Still Lives"
653,Nausicaä of the Valley of the Wind
654,Aladdin
655,Aladdin
656,Aladdin
657,Aladdin
658,Los Angeles Plays Itself
659,This Is England
660,Wheel of Fortune and Fantasy
661,City of Ghosts
662,City of Ghosts
663,City of Ghosts
664,City of Ghosts
665,Springtime in a Small Town
666,The Player
667,Sweet Sixteen
668,The Son
669,The Son
670,The Son
671,The Son
672,Ponyo
