id,titulo,nota,tipo de nota,diretor,generos
1,Os Bons Companheiros,4.8,0 a 10, Martin Scorsese,"Drama, Crime"
2,Misery - Louca Obsessão,4.7,0 a 10, Rob Reiner,"Drama, Thriller"
3,A Família Addams,4.6,0 a 10, Barry Sonnenfeld,"Comédia, Fantasia"
4,Dança com Lobos,4.6,0 a 10, Kevin Costner,"Aventura, Drama, Faroeste"
5,A Caça ao Outubro Vermelho,4.5,0 a 10, John McTiernan,"Ação, Aventura, Thriller"
6,Edward Mãos de Tesoura,4.5,0 a 10, Tim Burton,"Fantasia, Drama, Romance"
7,Pretty Woman,4.4,0 a 10, Garry Marshall,"Romance, Comédia"
8,O Silêncio dos Inocentes,4.4,0 a 10, Jonathan Demme,"Crime, Drama, Thriller"
9,Despedida em Las Vegas,4.3,0 a 10, Mike Figgis,"Drama, Romance"
10,O Exterminador do Futuro 2: O Julgamento Final,4.3,0 a 10, James Cameron,"Ação, Thriller, Ficção científica"
11,Encontros e Desencontros,4.2,0 a 10, David Mamet,"Drama, Romance"
12,Gremlins 2: A Nova Geração,4.2,0 a 10, Joe Dante,"Comédia, Terror, Fantasia"
13,Coração Selvagem,4.1,0 a 10, David Lynch,"Crime, Thriller, Romance"
14,A Lenda do Tesouro Perdido,4.1,0 a 10, Peter MacDonald,"Aventura, Ação, Thriller, Mistério"
15,O Guarda-Costas,4.0,0 a 10, Mick Jackson,"Ação, Drama, Romance"
16,O Silêncio dos Inocentes,4.8,0 a 10, Jonathan Demme,"Crime, Drama, Thriller"
17,A Lista de Schindler,4.8,0 a 10, Steven Spielberg,"Drama, História, Guerra"
18,Os Intocáveis,4.6,0 a 10, Brian De Palma,"Crime, História, Thriller"
19,Jogo de Poder,4.5,0 a 10, Richard Attenborough,"Drama, Thriller"
20,O Exterminador do Futuro 2: O Julgamento Final,4.5,0 a 10, James Cameron,"Ação, Thriller, Ficção científica"
21,O Pequeno Stuart Little,4.4,0 a 10, Rob Minkoff,"Família, Fantasia, Comédia, Aventura, Animação"
22,A Princesa Prometida,4.4,0 a 10, Rob Reiner,"Aventura, Família, Fantasia, Comédia, Romance"
23,O Cabeça de Vento,4.3,0 a 10, Ron Underwood,"Comédia, Crime, Música"
24,A Lenda do Tesouro Perdido,4.3,0 a 10, Peter MacDonald,"Aventura, Ação, Thriller, Mistério"
25,A Família Addams,4.2,0 a 10, Barry Sonnenfeld,"Comédia, Fantasia"
26,O Guarda-Costas,4.2,0 a 10, Mick Jackson,"Ação, Drama, Romance"
27,A Viagem de Chihiro,4.1,0 a 10, Hayao Miyazaki,"Animação, Família, Fantasia"
28,A Caça ao Outubro Vermelho,4.1,0 a 10, John McTiernan,"Ação, Aventura, Thriller"
29,Gênio Indomável,4.0,0 a 10, Gus Van Sant,Drama
30,Dança com Lobos,4.0,0 a 10, Kevin Costner,"Aventura, Drama, Faroeste"
31,Os Bons Companheiros,4.8,0 a 10, Martin Scorsese,"Drama, Crime"
32,O Silêncio dos Inocentes,4.7,0 a 10, Jonathan Demme,"Crime, Drama, Thriller"
33,Uma Linda Mulher,4.6,0 a 10, Garry Marshall,"Romance, Comédia"
34,A Fuga das Galinhas,4.5,0 a 10, Peter Lord,"Família, Animação, Aventura, Comédia"
35,O Guarda-Costas,4.5,0 a 10, Mick Jackson,"Ação, Drama, Romance"
36,As Panteras,4.4,0 a 10, McG,"Ação, Aventura, Comédia"
37,O Exterminador do Futuro 2: O Julgamento Final,4.4,0 a 10, James Cameron,"Ação, Thriller, Ficção científica"
38,Atração Fatal,4.3,0 a 10, Adrian Lyne,"Thriller, Drama, Romance"
39,A Cor Púrpura,4.3,0 a 10, Steven Spielberg,Drama
40,A Última Ceia,4.2,0 a 10, Spike Lee,"Drama, Romance"
41,Coração Valente,4.2,0 a 10, Mel Gibson,"Ação, Drama, História, Guerra"
42,Caminhos Perigosos,4.1,0 a 10, David Mamet,"Drama, Crime"
43,Beleza Americana,4.1,0 a 10, Sam Mendes,Drama
44,A Morte e a Donzela,4.0,0 a 10, Roman Polanski,"Drama, Thriller"
45,Os Vingadores,4.0,0 a 10, Jeremiah S. Chechik,"Ficção científica, Ação, Aventura"
46,A Lista de Schindler,4.8,0 a 10, Steven Spielberg,"Drama, História, Guerra"
47,Jurassic Park,4.7,0 a 10, Steven Spielberg,"Aventura, Ficção científica"
48,O Piano,4.6,0 a 10, Jane Campion,"Drama, Romance"
49,A Última Ceia,4.5,0 a 10, Spike Lee,"Drama, Romance"
50,O Silêncio dos Inocentes,4.5,0 a 10, Jonathan Demme,"Crime, Drama, Thriller"
51,Nascido Para Matar,4.4,0 a 10, Stanley Kubrick,"Drama, Guerra"
52,A Cor Púrpura,4.4,0 a 10, Steven Spielberg,Drama
53,O Último dos Moicanos,4.3,0 a 10, Michael Mann,"Ação, Aventura, Drama, História, Romance, Guerra"
54,Uma Linda Mulher,4.2,0 a 10, Garry Marshall,"Romance, Comédia"
55,A Vida é Bela,4.2,0 a 10, Roberto Benigni,"Comédia, Drama"
56,Os Três Mosqueteiros,4.1,0 a 10, Stephen Herek,"Aventura, Ação, Drama"
57,A Morte e a Donzela,4.1,0 a 10, Roman Polanski,"Drama, Thriller"
58,Apenas um Show,4.0,0 a 10, Michel Gondry,"Animação, Comédia, Ficção científica, Cinema TV, Aventura, Ação"
59,Demolição,4.0,0 a 10, Walter Hill,"Comédia, Drama"
60,Risco Total,4.0,0 a 10, John Badham,"Ação, Aventura, Thriller"
61,Título (Ano),Classificação,0 a 10,Direção,Desconhecido
62,Pulp Fiction,4.8,0 a 10, Quentin Tarantino,"Thriller, Crime"
63,O Rei Leão,4.7,0 a 10, Roger Allers,"Família, Animação, Drama"
64,Forrest Gump - O Contador de Histórias,4.7,0 a 10, Robert Zemeckis,"Comédia, Drama, Romance"
65,O Máskara,4.5,0 a 10, Chuck Russell,"Romance, Comédia, Crime, Fantasia"
66,A Lista de Schindler,4.5,0 a 10, Steven Spielberg,"Drama, História, Guerra"
67,As Aventuras de Pi,4.4,0 a 10, Ang Lee,"Aventura, Drama"
68,Um Lugar Chamado Notting Hill,4.4,0 a 10, Roger Michell,"Romance, Comédia"
69,Apenas um Show,4.3,0 a 10, Michel Gondry,"Animação, Comédia, Ficção científica, Cinema TV, Aventura, Ação"
70,A Espera de um Milagre,4.3,0 a 10, Frank Darabont,"Fantasia, Drama, Crime"
71,Coração Valente,4.3,0 a 10, Mel Gibson,"Ação, Drama, História, Guerra"
72,A Morte e a Donzela,4.2,0 a 10, Roman Polanski,"Drama, Thriller"
73,O Exterminador do Futuro 2: O Julgamento Final,4.2,0 a 10, James Cameron,"Ação, Thriller, Ficção científica"
74,Laranja Mecânica,4.1,0 a 10, Stanley Kubrick,"Ficção científica, Crime"
75,Gremlins 2: A Nova Geração,4.1,0 a 10, Joe Dante,"Comédia, Terror, Fantasia"
76,Os Vingadores,4.0,0 a 10, Jeremiah S. Chechik,"Ficção científica, Ação, Aventura"
77,Os Suspeitos,4.8,0 a 10, Bryan Singer,"Drama, Thriller, Crime"
78,Seven: Os Sete Crimes Capitais,4.8,0 a 10, David Fincher,"Crime, Mistério, Thriller"
79,Jumanji,4.7,0 a 10, Joe Johnston,"Aventura, Fantasia, Família"
80,Apollo 13,4.7,0 a 10, Ron Howard,"Drama, História"
81,Toy Story,4.6,0 a 10, John Lasseter,"Animação, Aventura, Família, Comédia"
82,O Profissional,4.6,0 a 10, Luc Besson,"Crime, Drama, Ação"
83,Casper,4.6,0 a 10, Brad Silberling,"Fantasia, Comédia, Família"
84,O Jogador,4.5,0 a 10, Robert Altman,"Ação, Thriller, Crime, Drama"
85,Heat,4.5,0 a 10, Michael Mann,"Ação, Crime, Drama"
86,A Cidade das Sombras,4.4,0 a 10, Gary Fleder,"Terror, Ficção científica"
87,Dezembro,4.4,0 a 10, James Foley,"Drama, Cinema TV"
88,Mortal Kombat,4.4,0 a 10, Paul W.S. Anderson,"Ação, Fantasia"
89,O Pacto dos Lobos,4.3,0 a 10, Christophe Gans,"Aventura, Terror, Ação, História"
90,A Era do Gelo,4.3,0 a 10, Chris Wedge,"Animação, Comédia, Família, Aventura"
91,O Último dos Moicanos,4.3,0 a 10, Michael Mann,"Ação, Aventura, Drama, História, Romance, Guerra"
92,O Paciente Inglês,4.5,0 a 10, Anthony Minghella,"Drama, Romance, Guerra"
93,Jerry Maguire,4.4,0 a 10, Cameron Crowe,"Comédia, Drama, Romance"
94,O Substituto,4.4,0 a 10, James Foley,Drama
95,O Hóspede,4.3,0 a 10, Stephen Hopkins,"Terror, Ação, Ficção científica"
96,A Rocha,4.3,0 a 10, Michael Bay,"Ação, Aventura, Thriller"
97,O Espelho Tem Duas Faces,4.3,0 a 10, Barbra Streisand,"Comédia, Drama, Romance"
98,Beleza Americana,4.6,0 a 10, Sam Mendes,Drama
99,O Fantasma da Ópera,4.2,0 a 10, Dario Argento,"Thriller, Drama, Romance"
100,Prêt-à-Porter,4.2,0 a 10, Robert Altman,Comédia
101,A Paixão de Cristo,4.1,0 a 10, Mel Gibson,Drama
102,Star Trek: First Contact,4.3,0 a 10, Jonathan Frakes,"Ficção científica, Ação, Aventura, Thriller"
103,Independence Day,4.4,0 a 10, Roland Emmerich,"Ação, Aventura, Ficção científica"
104,Scream,4.4,0 a 10, Wes Craven,"Terror, Mistério, Thriller"
105,Morte Súbita,4.2,0 a 10, Peter Hyams,"Ação, Terror, Thriller"
106,O Nome da Rosa,4.1,0 a 10, Jean-Jacques Annaud,"Drama, Thriller, Mistério"
107,A Vida é Bela,4.7,0 a 10,Roberto Benigni,"Comédia, Drama"
108,O Mundo Perdido: Jurassic Park,4.4,0 a 10,Steven Spielberg,"Aventura, Ação, Ficção científica"
109,Titanic,4.6,0 a 10,James Cameron,"Drama, Romance"
110,A Lista de Schindler,4.8,0 a 10,Steven Spielberg,"Drama, História, Guerra"
111,O Quinto Elemento,4.3,0 a 10,Luc Besson,"Aventura, Fantasia, Ação, Thriller, Ficção científica"
112,Boogie Nights,4.4,0 a 10,Paul Thomas Anderson,Drama
113,O Show de Truman,4.5,0 a 10,Peter Weir,"Comédia, Drama"
114,L.A. Confidential,4.4,0 a 10,Curtis Hanson,"Crime, Mistério, Thriller"
115,Gattaca,4.2,0 a 10,Andrew Niccol,"Thriller, Ficção científica, Mistério, Romance"
116,A Chegada,4.3,0 a 10,Mike Nichols,"Drama, Ficção científica, Mistério"
117,O Casamento de Rachel,4.1,0 a 10,Jonathan Demme,"Drama, Romance"
118,Chasing Amy,4.2,0 a 10,Kevin Smith,"Comédia, Drama, Romance"
119,Men in Black,4.3,0 a 10,Barry Sonnenfeld,"Ação, Aventura, Comédia, Ficção científica"
120,O Clube da Luta,4.5,0 a 10,David Fincher,Drama
121,O Corvo,4.2,0 a 10,Alex Proyas,"Ação, Fantasia, Terror"
122,O Show de Truman,4.5,0 a 10,Peter Weir,"Comédia, Drama"
123,A Vida é Bela,4.7,0 a 10,Roberto Benigni,"Comédia, Drama"
124,O Resgate do Soldado Ryan,4.7,0 a 10,Steven Spielberg,"Drama, História, Guerra"
125,O Clube da Luta,4.5,0 a 10,David Fincher,Drama
