id,titulo,nota,tipo de nota,diretor,generos
1,#Alive,7.239,0 a 10,Cho Il,"Terror, Ação, Thriller, Aventura"
2,(500) Dias com Ela,7.3,0 a 10,Marc Webb,"Comédia, Drama, Romance"
3,(A) Fronteira,6.143,0 a 10,Xavier Gens,"Drama, Terror, Ação, Thriller"
4,(Re)Nascer,6.4,0 a 10,Laura Moss,"Terror, Mistério, Thriller, Drama, Ficção científica"
5,...E o Vento Levou,7.944,0 a 10,Victor Fleming,"Drama, Guerra, Romance"
6,007 - Permissão para Matar,6.394,0 a 10,John Glen,"Aventura, Ação, Thriller"
7,007 A Serviço Secreto de Sua Majestade,6.572,0 a 10,Peter R. Hunt,"Aventura, Ação, Thriller"
8,007 Cassino Royale,7.559,0 a 10,Martin Campbell,"Aventura, Ação, Thriller"
9,007 Contra GoldenEye,6.89,0 a 10,Martin Campbell,"Aventura, Ação, Thriller"
10,007 Contra Goldfinger,7.343,0 a 10,Guy Hamilton,"Aventura, Ação, Thriller"
11,007 Contra Octopussy,6.325,0 a 10,John Glen,"Aventura, Ação, Thriller"
12,007 Contra Spectre,6.548,0 a 10,Sam Mendes,"Ação, Aventura, Thriller"
13,007 Contra a Chantagem Atômica,6.651,0 a 10,Terence Young,"Aventura, Ação, Thriller"
14,007 Contra o Foguete da Morte,6.156,0 a 10,Lewis Gilbert,"Ação, Aventura, Thriller, Ficção científica"
15,007 Contra o Homem com a Pistola de Ouro,6.436,0 a 10,Guy Hamilton,"Aventura, Ação, Thriller"
16,007 Contra o Satânico Dr. No,6.993,0 a 10,Terence Young,"Aventura, Ação, Thriller"
17,007 Marcado para a Morte,6.516,0 a 10,John Glen,"Ação, Aventura, Thriller"
18,007 Na Mira dos Assassinos,6.225,0 a 10,John Glen,"Aventura, Ação, Thriller"
19,007 O Amanhã Nunca Morre,6.358,0 a 10,Roger Spottiswoode,"Aventura, Ação, Thriller"
20,007 O Espião Que Me Amava,6.79,0 a 10,Lewis Gilbert,"Aventura, Ação, Thriller"
21,007 O Mundo Não é o Bastante,6.271,0 a 10,Michael Apted,"Aventura, Ação, Thriller"
22,007 Operação Skyfall,7.242,0 a 10,Sam Mendes,"Ação, Aventura, Thriller"
23,007 Os Diamantes São Eternos,6.383,0 a 10,Guy Hamilton,"Ação, Thriller"
24,007 Quantum of Solace,6.328,0 a 10,Marc Forster,"Aventura, Ação, Thriller, Crime"
25,007 Somente para Seus Olhos,6.523,0 a 10,John Glen,"Aventura, Ação, Thriller"
26,007 Um Novo Dia para Morrer,5.987,0 a 10,Lee Tamahori,"Aventura, Ação, Thriller"
27,007: Nunca Mais Outra Vez,6.059,0 a 10,Irvin Kershner,"Aventura, Ação, Thriller"
28,007: Sem Tempo para Morrer,7.376,0 a 10,Cary Joji Fukunaga,"Ação, Aventura, Thriller"
29,10 Coisas Que Eu Odeio em Você,7.591,0 a 10,Gil Junger,"Comédia, Romance, Drama"
30,10 jours encore sans maman,5.3,0 a 10,Ludovic Bernard,Comédia
31,10.000 A.C.,5.472,0 a 10,Roland Emmerich,"Aventura, Ação, Drama, Fantasia"
32,100 Coisas para Fazer Antes de Virar Zumbi,6.621,0 a 10,Yusuke Ishida,"Comédia, Terror"
33,100 Escovadas Antes de Dormir,4.597,0 a 10,Luca Guadagnino,Drama
34,100 Garotas,5.787,0 a 10,Michael Davis,"Comédia, Drama, Romance"
35,101 Dálmatas,7.184,0 a 10,Wolfgang Reitherman,"Aventura, Animação, Comédia, Família"
36,101 Dálmatas II: A Aventura de Patch em Londres,6.034,0 a 10,Brian Smith,"Família, Animação, Aventura, Comédia"
37,102 Dálmatas,5.508,0 a 10,Kevin Lima,"Família, Comédia"
38,11 De Setembro 1683,4.3,0 a 10,Renzo Martinelli,"História, Aventura, Drama"
39,12 Angry Lesbians,0.0,0 a 10,Patrice Leung,
40,12 Anos de Escravidão,4.7,0 a 10, Steve McQueen,"Drama, História"
41,12 Heróis,6.315,0 a 10,Nicolai Fuglsig,"Guerra, Drama, Ação, História"
42,12 Homens e uma Sentença,8.545,0 a 10,Sidney Lumet,Drama
43,12 Horas Para o Fim do Mundo,7.7,0 a 10,Dmitry Kiselev,"Ficção científica, Drama, Aventura, Família"
44,12 Horas para Sobreviver: O Ano da Eleição,6.396,0 a 10,James DeMonaco,"Ação, Terror, Thriller"
45,12 Rounds,5.875,0 a 10,Renny Harlin,"Ação, Thriller, Crime"
46,12 Rounds 2: Reloaded,5.552,0 a 10,Roel Reiné,"Ação, Aventura"
47,127 Horas,7.084,0 a 10,Danny Boyle,"Aventura, Drama, Thriller"
48,13 Fantasmas,6.244,0 a 10,Steve Beck,"Terror, Thriller"
49,13 Horas: Os Soldados Secretos de Benghazi,7.3,0 a 10,Michael Bay,"Guerra, Ação, História, Drama"
50,13º Andar,7.037,0 a 10,Josef Rusnak,"Thriller, Ficção científica, Mistério"
51,13º Distrito,5.896,0 a 10,Camille Delamarre,"Ação, Crime, Drama"
52,1408,6.689,0 a 10,Mikael Håfström,"Terror, Mistério"
53,1492 - A Conquista do Paraíso,6.2,0 a 10,Ridley Scott,"Ação, Aventura, Drama, História"
54,15 Cameras,6.1,0 a 10,Danny Madden,"Terror, Thriller"
55,15h17: Trem Para Paris,5.418,0 a 10,Clint Eastwood,"Drama, Thriller"
56,16 Desejos,6.296,0 a 10,Peter DeLuise,"Fantasia, Drama, Família"
57,17 Outra Vez,6.308,0 a 10,Burr Steers,"Comédia, Fantasia, Drama, Romance"
58,172 Days,5.1,0 a 10,Hadrah Daeng Ratu,"Drama, Romance"
59,175cm逆バニー風俗 天国に一番近いド淫乱ハイタワースペシャル 美顔 美乳 美脚でイキすぎ中出し20射精フルコース 佐野ゆま,0.0,0 a 10,Diretor não encontrado,
60,18 Anos Depois,6.6,0 a 10,Michihito Fujii,"Romance, Drama"
61,18 Anos e Ainda Virgem,3.882,0 a 10,Tamara Olson,Comédia
62,18 모델 리카의 화려한 외출,5.0,0 a 10,Choi Jin-chul,"Drama, Romance"
63,187: O Código,6.636,0 a 10,Kevin Reynolds,"Drama, Thriller"
64,18금 아이돌 승하의 섹스 스캔들,6.9,0 a 10,Choi Jin-chul,"Drama, Romance"
65,1917,4.7,0 a 10, Sam Mendes,"Guerra, História, Thriller"
66,1922,5.9,0 a 10,Zak Hilditch,"Terror, Crime, Drama"
67,1984,6.817,0 a 10,Michael Radford,"Drama, Ficção científica, Romance"
68,1992,5.8,0 a 10,Ariel Vromen,"Crime, Thriller"
69,2 Dias em Paris,6.217,0 a 10,Julie Delpy,"Comédia, Romance"
70,2 Mais 2,6.563,0 a 10,Diego Kaplan,Comédia
71,20 Anos + Jovem,6.448,0 a 10,David Moreau,Comédia
72,20 Dias em Mariupol,8.111,0 a 10,Mstyslav Chernov,"Documentário, Guerra"
73,"20,000 Espécies de Abelhas",7.052,0 a 10,Estibaliz Urresola Solaguren,Drama
74,20.000 Léguas Submarinas,7.045,0 a 10,Richard Fleischer,"Aventura, Ficção científica, Família"
75,2001 Maníacos,5.34,0 a 10,Tim Sullivan,"Comédia, Terror"
76,2001: Uma Odisseia no Espaço,8.072,0 a 10,Stanley Kubrick,"Ficção científica, Mistério, Aventura"
77,2010: O Ano em que Faremos Contato,6.646,0 a 10,Peter Hyams,"Thriller, Ficção científica"
78,2012,5.843,0 a 10,Roland Emmerich,"Ação, Aventura, Ficção científica"
79,2019: O Ano da Extinção,6.276,0 a 10,Michael Spierig,"Ação, Fantasia, Ficção científica"
80,2021 Nunca Mais,5.992,0 a 10,Jack Clough,Comédia
81,"2025: Blood, White & Blue",4.2,0 a 10,Josh E. Williams,"Terror, Ação, Comédia"
82,2037,7.241,0 a 10,Mo Hong-jin,Drama
83,2067,5.338,0 a 10,Seth Larney,"Ficção científica, Thriller"
84,21 paraíso,6.2,0 a 10,Néstor Ruiz Medina,Drama
85,22 Balas,6.7,0 a 10,Richard Berry,"Drama, Crime, Thriller"
86,22 Milhas,6.22,0 a 10,Peter Berg,"Ação, Thriller"
87,23,6.837,0 a 10,Hans-Christian Schmid,"Drama, Thriller"
88,24 Horas com Gaspar,6.672,0 a 10,Yosep Anggi Noen,"Ação, Crime, Drama, Mistério, Ficção científica, Thriller"
89,24살윤율의섹시한젖가슴,7.222,0 a 10,Diretor não encontrado,"Drama, Romance"
90,28 Dias,6.129,0 a 10,Betty Thomas,"Comédia, Drama"
91,3 Days in Malay,4.942,0 a 10,Louis Mandylor,"Ação, Aventura, Guerra"
92,3 Dias para Matar,6.086,0 a 10,McG,"Ação, Drama, Thriller"
93,3 Idiotas,7.997,0 a 10,Rajkumar Hirani,"Drama, Comédia"
94,3 Ninjas,5.671,0 a 10,Jon Turteltaub,"Família, Ação, Aventura, Comédia"
95,3 Ninjas Contra-Atacam,5.604,0 a 10,Charles T. Kanganis,"Família, Aventura, Ação, Comédia"
96,3 Ninjas em Apuros,5.072,0 a 10,Shin Sang-ok,"Família, Aventura, Ação, Comédia"
97,3 jours max,5.36,0 a 10,Tarek Boudali,Comédia
