titulo,nota,tipo de nota,diretor,generos
#Alive,7.239,0 a 10,Cho Il,"Terror, Ação, Thriller, Aventura"
(500) Dias com Ela,7.3,0 a 10,Marc Webb,"Comédia, Drama, Romance"
(A) Fronteira,6.143,0 a 10,Xavier Gens,"Drama, Terror, Ação, Thriller"
(Re)Nascer,6.4,0 a 10,Laura Moss,"Terror, Mistério, Thriller, Drama, Ficção científica"
...E o Vento Levou,7.944,0 a 10,Victor Fleming,"Drama, Guerra, Romance"
007 - Permissão para Matar,6.394,0 a 10,John Glen,"Aventura, Ação, Thriller"
007 A Serviço Secreto de Sua Majestade,6.572,0 a 10,Peter R. Hunt,"Aventura, Ação, Thriller"
007 Cassino Royale,7.559,0 a 10,Martin Campbell,"Aventura, Ação, Thriller"
007 Contra GoldenEye,6.89,0 a 10,Martin Campbell,"Aventura, Ação, Thriller"
007 Contra Goldfinger,7.343,0 a 10,Guy Hamilton,"Aventura, Ação, Thriller"
007 Contra Octopussy,6.325,0 a 10,John Glen,"Aventura, Ação, Thriller"
007 Contra Spectre,6.548,0 a 10,Sam Mendes,"Ação, Aventura, Thriller"
007 Contra a Chantagem Atômica,6.651,0 a 10,Terence Young,"Aventura, Ação, Thriller"
007 Contra o Foguete da Morte,6.156,0 a 10,Lewis Gilbert,"Ação, Aventura, Thriller, Ficção científica"
007 Contra o Homem com a Pistola de Ouro,6.436,0 a 10,Guy Hamilton,"Aventura, Ação, Thriller"
007 Contra o Satânico Dr. No,6.993,0 a 10,Terence Young,"Aventura, Ação, Thriller"
007 Marcado para a Morte,6.516,0 a 10,John Glen,"Ação, Aventura, Thriller"
007 Na Mira dos Assassinos,6.225,0 a 10,John Glen,"Aventura, Ação, Thriller"
007 O Amanhã Nunca Morre,6.358,0 a 10,Roger Spottiswoode,"Aventura, Ação, Thriller"
007 O Espião Que Me Amava,6.79,0 a 10,Lewis Gilbert,"Aventura, Ação, Thriller"
007 O Mundo Não é o Bastante,6.271,0 a 10,Michael Apted,"Aventura, Ação, Thriller"
007 Operação Skyfall,7.242,0 a 10,Sam Mendes,"Ação, Aventura, Thriller"
007 Os Diamantes São Eternos,6.383,0 a 10,Guy Hamilton,"Ação, Thriller"
007 Quantum of Solace,6.328,0 a 10,Marc Forster,"Aventura, Ação, Thriller, Crime"
007 Somente para Seus Olhos,6.523,0 a 10,John Glen,"Aventura, Ação, Thriller"
007 Um Novo Dia para Morrer,5.987,0 a 10,Lee Tamahori,"Aventura, Ação, Thriller"
007: Nunca Mais Outra Vez,6.059,0 a 10,Irvin Kershner,"Aventura, Ação, Thriller"
007: Sem Tempo para Morrer,7.376,0 a 10,Cary Joji Fukunaga,"Ação, Aventura, Thriller"
10 Coisas Que Eu Odeio em Você,7.591,0 a 10,Gil Junger,"Comédia, Romance, Drama"
10 jours encore sans maman,5.3,0 a 10,Ludovic Bernard,Comédia
10.000 A.C.,5.472,0 a 10,Roland Emmerich,"Aventura, Ação, Drama, Fantasia"
100 Coisas para Fazer Antes de Virar Zumbi,6.621,0 a 10,Yusuke Ishida,"Comédia, Terror"
100 Escovadas Antes de Dormir,4.597,0 a 10,Luca Guadagnino,Drama
100 Garotas,5.787,0 a 10,Michael Davis,"Comédia, Drama, Romance"
101 Dálmatas,7.184,0 a 10,Wolfgang Reitherman,"Aventura, Animação, Comédia, Família"
101 Dálmatas II: A Aventura de Patch em Londres,6.034,0 a 10,Brian Smith,"Família, Animação, Aventura, Comédia"
102 Dálmatas,5.508,0 a 10,Kevin Lima,"Família, Comédia"
11 De Setembro 1683,4.3,0 a 10,Renzo Martinelli,"História, Aventura, Drama"
12 Angry Lesbians,0.0,0 a 10,Patrice Leung,
12 Anos de Escravidão,4.7,0 a 10, Steve McQueen,"Drama, História"
12 Heróis,6.315,0 a 10,Nicolai Fuglsig,"Guerra, Drama, Ação, História"
12 Homens e uma Sentença,8.545,0 a 10,Sidney Lumet,Drama
12 Horas Para o Fim do Mundo,7.7,0 a 10,Dmitry Kiselev,"Ficção científica, Drama, Aventura, Família"
12 Horas para Sobreviver: O Ano da Eleição,6.396,0 a 10,James DeMonaco,"Ação, Terror, Thriller"
12 Rounds,5.875,0 a 10,Renny Harlin,"Ação, Thriller, Crime"
12 Rounds 2: Reloaded,5.552,0 a 10,Roel Reiné,"Ação, Aventura"
127 Horas,7.084,0 a 10,Danny Boyle,"Aventura, Drama, Thriller"
13 Fantasmas,6.244,0 a 10,Steve Beck,"Terror, Thriller"
13 Horas: Os Soldados Secretos de Benghazi,7.3,0 a 10,Michael Bay,"Guerra, Ação, História, Drama"
13º Andar,7.037,0 a 10,Josef Rusnak,"Thriller, Ficção científica, Mistério"
13º Distrito,5.896,0 a 10,Camille Delamarre,"Ação, Crime, Drama"
1408,6.689,0 a 10,Mikael Håfström,"Terror, Mistério"
1492 - A Conquista do Paraíso,6.2,0 a 10,Ridley Scott,"Ação, Aventura, Drama, História"
15 Cameras,6.1,0 a 10,Danny Madden,"Terror, Thriller"
15h17: Trem Para Paris,5.418,0 a 10,Clint Eastwood,"Drama, Thriller"
16 Desejos,6.296,0 a 10,Peter DeLuise,"Fantasia, Drama, Família"
17 Outra Vez,6.308,0 a 10,Burr Steers,"Comédia, Fantasia, Drama, Romance"
172 Days,5.1,0 a 10,Hadrah Daeng Ratu,"Drama, Romance"
175cm逆バニー風俗 天国に一番近いド淫乱ハイタワースペシャル 美顔 美乳 美脚でイキすぎ中出し20射精フルコース 佐野ゆま,0.0,0 a 10,Diretor não encontrado,
18 Anos Depois,6.6,0 a 10,Michihito Fujii,"Romance, Drama"
18 Anos e Ainda Virgem,3.882,0 a 10,Tamara Olson,Comédia
18 모델 리카의 화려한 외출,5.0,0 a 10,Choi Jin-chul,"Drama, Romance"
187: O Código,6.636,0 a 10,Kevin Reynolds,"Drama, Thriller"
18금 아이돌 승하의 섹스 스캔들,6.9,0 a 10,Choi Jin-chul,"Drama, Romance"
1917,4.7,0 a 10, Sam Mendes,"Guerra, História, Thriller"
1922,5.9,0 a 10,Zak Hilditch,"Terror, Crime, Drama"
1984,6.817,0 a 10,Michael Radford,"Drama, Ficção científica, Romance"
