title,rating,director,genres
A Fraternidade é Vermelha,7.917,Krzysztof Kieślowski,"Drama, Mistério, Romance"
O Conformista,7.669,Bernardo Bertolucci,Drama
Tokyo Story,0.0,Hal Torii,
O Poderoso Chefão,8.69,Francis Ford Coppola,"Drama, Crime"
Boyhood: Da Infância à Juventude,7.502,Richard Linklater,Drama
Playtime - Tempo de Diversão,7.748,Jacques Tati,Comédia
O Exército das Sombras,7.9,Jean-Pierre Melville,"Guerra, História, Thriller"
Moonlight: Sob a Luz do Luar,7.4,Barry Jenkins,Drama
Moonlight: Sob a Luz do Luar,7.4,Barry Jenkins,Drama
Moonlight: Sob a Luz do Luar,7.4,Barry Jenkins,Drama
Moonlight: Sob a Luz do Luar,7.4,Barry Jenkins,Drama
O Labirinto do Fauno,7.757,Guillermo del Toro,"Fantasia, Drama, Guerra"
Basquete Blues,7.626,Steve James,Documentário
Meu Pé Esquerdo,7.538,Jim Sheridan,Drama
Ran,1.0,Lital Yosefi,
"Quo Vadis, Aida?",7.6,Jasmila Žbanić,"Guerra, Drama, História"
"4 Meses, 3 Semanas e 2 Dias",7.534,Cristian Mungiu,Drama
Parasita,4.9,Charles Band,"Terror, Ficção científica"
Loucuras de Verão,7.032,George Lucas,"Comédia, Drama"
Roma,7.652,Alfonso Cuarón,Drama
A Viagem de Chihiro,8.537,Hayao Miyazaki,"Animação, Família, Fantasia"
Toy Story: Um Mundo de Aventuras,7.971,John Lasseter,"Animação, Aventura, Família, Comédia"
"Summer of Soul (...ou, Quando a Revolução Não Pôde Ser Televisionada)",7.657,Questlove,"Música, Documentário, História"
12 Anos de Escravidão,7.942,Steve McQueen,"Drama, História"
Manchester à Beira-Mar,7.547,Kenneth Lonergan,Drama
A Batalha de Argel,7.888,Gillo Pontecorvo,"Drama, Guerra, História"
O Matador de Ovelhas,6.456,Charles Burnett,Drama
Nashville,7.235,Robert Altman,"Drama, Música, Comédia"
Ratatouille,7.824,Brad Bird,"Animação, Comédia, Família, Fantasia"
