titulo,nota,tipo de nota,diretor,generos
Deadpool & Wolverine,7.702,0 a 10,Shawn Levy,"Ação, Comédia, Ficção científica"
Borderlands: O Destino do Universo Está em Jogo,5.838,0 a 10,Eli Roth,"Ação, Ficção científica, Comédia, Aventura, Thriller"
Divertida Mente 2,7.669,0 a 10,Kelsey Mann,"Animação, Família, Aventura, Comédia, Fantasia"
Rebel Ridge,7.029,0 a 10,Jeremy Saulnier,"Crime, Ação, Thriller"
Meu Malvado Favorito 4,7.177,0 a 10,Chris Renaud,"Animação, Família, Comédia, Ação"
O Corvo,5.364,0 a 10,Rupert Sanders,"Ação, Fantasia, Terror"
Os Fantasmas Ainda se Divertem: Beetlejuice Beetlejuice,7.173,0 a 10,Tim Burton,"Comédia, Fantasia, Terror"
Bad Boys: Até o Fim,7.55,0 a 10,Adil El Arbi,"Ação, Crime, Thriller, Comédia"
Twisters,6.985,0 a 10,Lee Isaac Chung,"Ação, Aventura, Thriller"
Alien: Romulus,7.1,0 a 10,Fede Álvarez,"Terror, Ficção científica, Ação"
É Assim Que Acaba,6.7,0 a 10,Justin Baldoni,"Romance, Drama"
Os Fantasmas se Divertem,7.378,0 a 10,Tim Burton,"Fantasia, Comédia"
A Missão de Sandy Bochechas,0.0,0 a 10,Liza Johnson,"Animação, Comédia, Aventura, Família"
Feios,6.063,0 a 10,McG,"Ficção científica, Aventura"
Crepúsculo dos Guerreiros: Walled In,6.667,0 a 10,Soi Cheang,"Ação, Aventura, Crime, Thriller"
Garfield - Fora de Casa,7.119,0 a 10,Mark Dindal,"Animação, Comédia, Família, Aventura, Ação"
Um Lugar Silencioso: Dia Um,6.811,0 a 10,Michael Sarnoski,"Terror, Ficção científica, Thriller"
Transformers: O Início,7.594,0 a 10,Josh Cooley,"Animação, Ficção científica, Aventura, Ação, Família"
The Killer,6.586,0 a 10,John Woo,"Ação, Thriller, Crime"
Longlegs - Vínculo Mortal,6.7,0 a 10,Osgood Perkins,"Crime, Terror, Thriller"
KILL: O Massacre no Trem,6.815,0 a 10,Nikhil Nagesh Bhat,"Ação, Crime"
Triplo X,5.938,0 a 10,Rob Cohen,"Ação, Aventura, Thriller, Crime"
Hunting Games,4.5,0 a 10,Justin Lee,"Ação, Thriller, Cinema TV"
Gunner,5.378,0 a 10,Dimitri Logothetis,"Ação, Thriller, Crime"
Armadilha,6.514,0 a 10,M. Night Shyamalan,"Thriller, Crime, Terror"
Vingadores: Guerra Infinita,8.246,0 a 10,Joe Russo,"Aventura, Ação, Ficção científica"
Planeta dos Macacos: O Reinado,7.135,0 a 10,Wes Ball,"Ficção científica, Aventura, Ação"
A Liga,6.254,0 a 10,Julian Farino,"Ação, Comédia"
Furiosa: Uma Saga Mad Max,7.568,0 a 10,George Miller,"Ação, Aventura, Ficção científica"
Duchess,5.8,0 a 10,Neil Marshall,"Ação, Crime, Thriller"
Jackpot: Loteria Mortal!,6.396,0 a 10,Paul Feig,"Comédia, Ficção científica"
Não Fale o Mal,7.059,0 a 10,James Watkins,"Terror, Thriller"
Colateral,6.607,0 a 10,James Cullen Bressack,Ação
The Convert,6.151,0 a 10,Lee Tamahori,"Ação, Drama"
Subservience,6.042,0 a 10,SK Dale,"Ficção científica, Thriller, Terror"
Presa,6.426,0 a 10,Mukunda Michael Dewil,"Ação, Thriller"
O Agente Faixa-Preta,7.717,0 a 10,Jason Kim,"Ação, Comédia, Crime"
Godzilla e Kong: O Novo Império,7.163,0 a 10,Adam Wingard,"Ação, Aventura, Ficção científica, Fantasia, Thriller, Mistério"
Kung Fu Panda 4,7.105,0 a 10,Mike Mitchell,"Animação, Família, Fantasia, Ação"
Harold e o Lápis Mágico,7.025,0 a 10,Carlos Saldanha,"Aventura, Família, Fantasia, Comédia"
A Menina e o Dragão,7.282,0 a 10,Jian-Ping Li,"Ação, Aventura, Animação, Família, Fantasia"
A Libertação,6.292,0 a 10,Lee Daniels,"Terror, Thriller"
O Hobbit: A Batalha dos Cinco Exércitos,7.324,0 a 10,Peter Jackson,"Ação, Aventura, Fantasia"
일본 엄마,7.4,0 a 10,Kim Moo-won,"Romance, Drama"
Guerra Civil,6.943,0 a 10,Alex Garland,"Guerra, Ação, Drama"
Céu Azul,6.1,0 a 10,Moon-saeng Kim,"Animação, Ficção científica"
Descendentes: A Ascensão de Copas,6.95,0 a 10,Jennifer Phang,"Fantasia, Aventura, Família, Comédia"
O Mestre da Fumaça,7.182,0 a 10,Andre Sigwalt,"Ação, Comédia, Fantasia"
Cinderella's Curse,4.7,0 a 10,Louisa Warren,"Terror, Fantasia"
Pleasure,6.24,0 a 10,Ninja Thyberg,Drama
O Senhor dos Anéis: O Retorno do Rei,8.48,0 a 10,Peter Jackson,"Aventura, Fantasia, Ação"
Kiskisan,0.0,0 a 10,Bobby Bonifacio,Drama
Homem-Aranha: Sem Volta Para Casa,7.961,0 a 10,Jon Watts,"Ação, Aventura, Ficção científica"
Melhor Viúva Do Que Mal Acompanhada,8.6,0 a 10,Magaby García,"Comédia, Crime, Thriller"
Minha Culpa,7.945,0 a 10,Domingo González,"Drama, Romance"
Um Sonho de Liberdade,8.7,0 a 10,Frank Darabont,"Drama, Crime"
Technoboys,5.889,0 a 10,Gerardo Gatica,"Comédia, Música"
Avatar: O Caminho da Água,7.62,0 a 10,James Cameron,"Ficção científica, Aventura, Ação"
Liga da Justiça: Crise nas Infinitas Terras - Parte Três,7.519,0 a 10,Jeff Wamester,"Animação, Ficção científica, Ação"
O Exorcismo,4.802,0 a 10,Joshua John Miller,"Terror, Thriller"
Venom: A Última Rodada,0.0,0 a 10,Kelly Marcel,"Ação, Ficção científica, Aventura"
Patos!,7.446,0 a 10,Benjamin Renner,"Animação, Ação, Aventura, Comédia, Família"
Wanted Man: Marcado Para Morrer,9.333,0 a 10,Dolph Lundgren,Ação
Transformers: O Despertar das Feras,7.311,0 a 10,Steven Caple Jr.,"Ficção científica, Aventura, Ação"
Pisque Duas Vezes,6.799,0 a 10,Zoë Kravitz,"Mistério, Thriller"
Farang,6.67,0 a 10,Xavier Gens,"Ação, Crime, Drama"
Guerreiros Mágicos: A Lenda das Oito Luas,5.4,0 a 10,Jinanavin Veerapatra,"Animação, Ação, Aventura, Fantasia, Ficção científica"
Casa de Ga'a,5.877,0 a 10,Bolanle Austen-Peters,"Ação, História"
Freddy's Fridays,3.214,0 a 10,Ben J. Williams,Terror
Crescent City,6.054,0 a 10,RJ Collins,"Thriller, Terror, Crime, Mistério"
Manobra Arriscada,6.735,0 a 10,Kelly Blatz,"Ação, Drama, Romance"
Interestelar,8.44,0 a 10,Christopher Nolan,"Aventura, Drama, Ficção científica"
Os Provocadores,6.193,0 a 10,Doug Liman,"Crime, Comédia, Ação"
O Senhor dos Anéis: A Sociedade do Anel,8.415,0 a 10,Peter Jackson,"Aventura, Fantasia, Ação"
레깅스 마니아,5.0,0 a 10,Richard Kim,"Drama, Romance"
Velozes & Furiosos 10,7.096,0 a 10,Louis Leterrier,"Ação, Crime, Thriller"
The Mouse Trap,5.0,0 a 10,Jamie Bailey,"Terror, Thriller, Comédia"
딸의 친구 4,4.95,0 a 10,Kim Tae-soo,Romance
Sonic 3: O Filme,0.0,0 a 10,Jeff Fowler,"Ficção científica, Família, Comédia, Ação, Aventura"
Robô Selvagem,8.9,0 a 10,Chris Sanders,"Animação, Ficção científica, Família"
Robô Selvagem,8.9,0 a 10,Chris Sanders,"Animação, Ficção científica, Família"
Divertida Mente,7.914,0 a 10,Pete Docter,"Animação, Família, Aventura, Drama, Comédia"
BLUE LOCK O FILME -EPISÓDIO NAGI-,7.244,0 a 10,Shunsuke Ishikawa,"Animação, Ação, Drama"
Coraline e o Mundo Secreto,7.886,0 a 10,Henry Selick,"Animação, Família, Fantasia"
Top Gun: Maverick,8.207,0 a 10,Joseph Kosinski,"Ação, Drama"
Attack of the Meth Gator,3.6,0 a 10,Christopher Ray,"Terror, Ficção científica, Ação"
Harry Potter e a Pedra Filosofal,7.914,0 a 10,Chris Columbus,"Aventura, Fantasia"
Sob as Águas do Sena,6.023,0 a 10,Xavier Gens,"Ação, Drama, Terror, Thriller"
Transformers: O Último Cavaleiro,6.058,0 a 10,Michael Bay,"Ação, Aventura, Ficção científica"
Guerra Sem Regras,7.1,0 a 10,Guy Ritchie,"Ação, Comédia, Guerra"
A Substância,7.769,0 a 10,Coralie Fargeat,"Drama, Terror, Ficção científica"
John Wick: Um Novo Dia para Matar,7.334,0 a 10,Chad Stahelski,"Ação, Thriller, Crime"
Homem-Aranha: Através do Aranhaverso,8.357,0 a 10,Kemp Powers,"Animação, Ação, Aventura, Ficção científica"
Homem-Aranha: No Aranhaverso,8.4,0 a 10,Bob Persichetti,"Animação, Ação, Aventura, Ficção científica"
Aprendiz de Espiã: Na Cidade Eterna,6.688,0 a 10,Peter Segal,"Ação, Comédia"
Sua Culpa,0.0,0 a 10,Domingo González,"Drama, Romance"
Isca,6.0,0 a 10,Hayley Easton Street,"Thriller, Terror"
Super Mario Bros. O Filme,7.655,0 a 10,Aaron Horvath,"Animação, Família, Aventura, Fantasia, Comédia"
Capitão América: Guerra Civil,7.445,0 a 10,Joe Russo,"Aventura, Ação, Ficção científica"
Operação Big Hero,7.734,0 a 10,Don Hall,"Aventura, Família, Animação, Ação, Comédia"
